Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Cambodia,KHM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,63.6884209485264,65.049262160306,66.3891055650022,67.7079968252659,69.0059822259685,70.2828703284751,71.539204338713,72.7747960661074,73.9897142664689,75.1838204777674,76.3583989017941,77.5132246974306,78.6484857238686,79.7640004029773,80.8599549237853
Cambodia,KHM,Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CH4.ZG.AR5,78.8159491234676,83.9420944730346,88.382076063763,95.3784360487009,93.712396970838,93.3291494079746,94.8303418267018,94.3642525417346,99.3799422618301,104.385590561064,107.286724404837,106.685075938245,106.436550771934,118.29714237898,109.807957826032
Cambodia,KHM,"Population, total",SP.POP.TOTL,14053479,14276810,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724
Indonesia,IDN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.90190005302429,3.52513003349304,2.81227993965149,3.18944001197815,3.40748000144958,3.35904002189636,3.28800988197327,3.58360004425049,1.21023452496964,1.05324382490056,0.994436460846179,0.964399077622927,1.01593221347809,1.03221750658374,0.863943349575907
Indonesia,IDN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,20.5209503173828,22.6933307647705,23.4159086398462,25.027444191823,29.0425391195214,29.894529174265,29.9904910473273,32.4590200433758,34.8307173410877,35.967012362631,36.1494878042588,37.3230862728703,38.1650601406923,40.6293239880732,42.3260385456152
Indonesia,IDN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.208,6.106,5.614,5.153,4.468,4.336,4.049,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462
Indonesia,IDN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,86.6841675260839,86.7669383953972,84.7970625617851,88.4564757954134,89.1500241196334,88.1430557355945,88.9995459743055,89.8887158523133,88.1172298070323,88.2520227509413,83.9937721728772,84.7842884739214,83.4035914628074,83.6556295079228,82.762621140552
Indonesia,IDN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,9.94526740152418,9.86205620829985,9.73872051970061,9.49559225327369,8.87338639652677,8.34814520130343,8.13462282235824,8.08662643566284,8.02110060254748,8.98691311092176,8.5965183727374,8.09560604666851,8.4805233601994,8.65237684146036,..
Indonesia,IDN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,10.2266663272483,4.38641311792074,5.13420639015885,5.35604849112582,4.2795142691943,6.41249457900391,6.39492882396559,6.36312061196646,3.52580452815451,3.80879857691949,3.19834755924996,3.03058460941661,1.91983527270793,1.56007882983334,4.20946463714784
Indonesia,IDN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,88.2,88.4,89.4,90.2,92.6,93,94,94.9,95.1,96,96.8,97.5,93.5,98.2,98.2
Indonesia,IDN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,397.2554,411.3491,443.682,499.9362,504.2572,474.9651,505.0762,512.3973,507.0965,535.7474,596.4692,637.5692,596.2839,622.6868,722.6996
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.085,68.267,68.364,68.629,68.862,69.064,69.292,69.52,69.733,69.953,70.08,70.349,68.817,67.452,70.925
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.01370360009123,4.62887118256153,6.22385418062366,6.16978420771008,6.03005065305615,5.5572636889101,5.006668425755,4.87632230022123,5.03306918280177,5.06978590134916,5.17429153955024,5.01928768046282,-2.06551182934165,3.70288562827751,5.30719722664799
Indonesia,IDN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,83.4896329573105,84.3913253324257,85.1661850718562,85.6378136701144,86.0745858271754,86.4972383225177,86.9065589204206,87.3023728948535,87.6849895715078,88.0541295680055,88.410420237217,88.7538936468124,89.0851606060889,89.4041137814594,89.7113532580834
Indonesia,IDN,Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CH4.ZG.AR5,44.2163713101788,53.7582965605433,58.1180159274037,87.7509427141486,97.2251220600448,95.2689590685223,102.055504674966,95.5736021536366,99.4435157847245,113.79312307908,136.680351054723,148.448355489518,139.779370375826,140.995025088045,170.518078265022
Indonesia,IDN,"Population, total",SP.POP.TOTL,240157903,243220028,246305322,249470032,252698525,255852467,258877399,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529
Lao PDR,LAO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.27854990959167,1.65485000610352,1.70978999137878,1.70801997184753,1.82147002220154,3.23380994796753,2.93780994415283,2.73689787884215,2.77442976110388,2.49797261414021,2.33501229018316,2.12201393748998,1.91597273223857,1.85949176876536,1.46083440434069
Lao PDR,LAO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,13.0783004760742,16.2123508453369,16.6638298034668,17.4954696423161,17.330766926856,18.9224448772621,18.4954952643985,18.1574846273063,17.0880719461771,15.4112577339384,14.4969749098337,13.7404020217342,12.561911777868,12.4396649191011,13.677811550152
Lao PDR,LAO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,0.708,..,..,..,..,2.006,..,3.268,..,..,..,..,1.209
Lao PDR,LAO,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0,0,0,0,0,0,0,13.8571954361428,31.0155428304312,35.1825616588319,34.9298148740155,36.5202356557377,28.410228182546,26.4521874652121,23.8658854421822
